source,market,date,split
investrade,equity market,2020-08-31,train
investrade,equity market,2020-09-01,train
investrade,equity market,2020-09-02,train
investrade,equity market,2020-09-03,train
investrade,equity market,2020-09-04,train
investrade,equity market,2020-09-08,train
investrade,equity market,2020-09-09,train
investrade,equity market,2020-09-11,train
investrade,equity market,2020-09-14,train
investrade,equity market,2020-09-15,train
investrade,equity market,2020-09-16,train
investrade,equity market,2020-09-17,train
investrade,equity market,2020-09-18,train
investrade,equity market,2020-09-21,train
investrade,equity market,2020-09-22,train
investrade,equity market,2020-09-23,train
investrade,equity market,2020-09-24,train
investrade,equity market,2020-09-25,train
investrade,equity market,2020-09-28,train
investrade,equity market,2020-09-29,train
investrade,equity market,2020-09-30,train
investrade,equity market,2020-10-01,train
investrade,equity market,2020-10-05,train
investrade,equity market,2020-10-06,train
investrade,equity market,2020-10-07,train
investrade,equity market,2020-10-08,train
investrade,equity market,2020-10-09,train
investrade,equity market,2020-10-12,train
investrade,equity market,2020-10-13,train
investrade,equity market,2020-10-14,train
investrade,equity market,2020-10-15,train
investrade,equity market,2020-10-16,train
investrade,equity market,2020-10-19,train
investrade,equity market,2020-10-20,train
investrade,equity market,2020-10-21,train
investrade,equity market,2020-10-22,train
investrade,equity market,2020-10-23,train
investrade,equity market,2020-10-26,train
investrade,equity market,2020-10-27,train
investrade,equity market,2020-10-28,train
investrade,equity market,2020-10-29,train
investrade,equity market,2020-10-30,train
investrade,equity market,2020-11-02,train
investrade,equity market,2020-11-03,train
investrade,equity market,2020-11-04,train
investrade,equity market,2020-11-05,train
investrade,equity market,2020-11-06,train
investrade,equity market,2020-11-09,train
investrade,equity market,2020-11-10,train
investrade,equity market,2020-11-11,train
investrade,equity market,2020-11-12,train
investrade,equity market,2020-11-13,train
investrade,equity market,2020-11-16,train
investrade,equity market,2020-11-17,train
investrade,equity market,2020-11-18,train
investrade,equity market,2020-11-19,train
investrade,equity market,2020-11-20,train
investrade,equity market,2020-11-23,train
investrade,equity market,2020-11-24,train
investrade,equity market,2020-11-25,train
investrade,equity market,2020-11-27,train
investrade,equity market,2020-11-30,train
investrade,equity market,2020-12-01,train
investrade,equity market,2020-12-02,train
investrade,equity market,2020-12-03,train
investrade,equity market,2020-12-04,train
investrade,equity market,2020-12-07,train
investrade,equity market,2020-12-08,train
investrade,equity market,2020-12-09,train
investrade,equity market,2020-12-10,train
investrade,equity market,2020-12-11,train
investrade,equity market,2020-12-14,train
